Country;City;Voting station;Voters surveyed;Putin;Davankov;Spoiled ballot;Declined to answer;Ballot removed / destroyed;Slutskiy;Haritonov;Voters counted at the exit; surveyed;Voters stopped by closure;Voting station close time (CET);Volunteers using digital survey form;Footnote
Австралия / Australia;Сидней / Sydney;8010;536;18;54;23;1;;1;3;831;65;0;17-03-24 10:00;2;*
Австрия / Austria;Вена / Vein;8015;1788;7;45;21;25;0;1;2;1891;95;~200;17-03-24 20:00;6;
;Зальцбург / Salzburg;8016;1227;8;53;21;15;0;1;2;1525;80;;17-03-24 20:00;15;
Аргентина / Argentina;Буэнос-Айрес / Buenos Aires;8023;1356;6;53;19;18;1;1;2;1687;80;0;18-03-24 00:00;8;
Армения / Armenia;Гюмри / Gyumri;8031;690;21;48;10;19;0;1;2;;;;17-03-24 17:00;9;
;Ереван / Yerevan;8026;3213;8;63;17;9;0;1;1;;;;17-03-24 17:00;14;
Бельгия / Belgium;Брюссель / Brussels;8039;639;23;42;26;4;1;0;2;;;;17-03-24 20:00;4;
Великобритания / Great Britain;Лондон / London;8061;1726;6;57;24;11;1;0;2;2589;67;>1000;17-03-24 21:00;13;
Венгрия / Hungary;Будапешт / Budapest;8289;1437;14;40;12;31;0;1;1;;;0;17-03-24 20:00;10;
Вьетнам / Vietnam;Ханой / Hanoi;8067;238;15;53;11;18;;1;1;;;;17-03-24 14:00;5;
Греция / Greece;Афины / Athens;8077;1076;59;7;5;28;0;0;0;2287;;0;17-03-24 19:00;6;~2287
Дания / Denmark;Копенгаген / Copenhagen;8079;620;8;51;23;14;0;1;2;814;76;0;17-03-24 20:00;4;
Израиль / Israel;Иерусалим / Jerusalem;8089;601;16;40;19;22;1;1;1;609;99;;17-03-24 19:00;9;
;Тель-Авив / Tel Aviv;8094;1619;16;46;18;17;1;1;1;;;;17-03-24 19:00;9;
;Хайфа / Haifa;8096;815;19;47;17;15;0;1;1;;;;17-03-24 19:00;10;
Ирландия / Ireland;Дублин / Dublin;8112;629;7;39;18;33;1;1;1;;;;17-03-24 21:00;5;
Испания / Spain;Барселона / Barcelona;8117;962;5;65;27;1;0;0;2;1363;71;;17-03-24 20:00;13;
;Мадрид / Madrid;8114;445;11;53;27;6;0;1;1;;;;17-03-24 20:00;7;
Италия / Italy;Генуя / Genoa;8120;193;48;19;10;22;;1;1;550;35;;17-03-24 20:00;2;
;Милан / Milan;8119;790;23;35;15;24;0;1;1;1215;;;17-03-24 20:00;13;>1215
;Рим / Rome;8118;824;38;30;11;19;0;1;1;1137;72;;17-03-24 20:00;9;
Казахстан / Kazakhstan;Алматы / Almaty;8133;1615;8;69;14;7;0;0;1;;;;17-03-24 15:00;8;
;;8134;646;7;63;14;13;1;1;1;;;;17-03-24 15:00;6;
Канада / Canada;Монреаль / Montreal;8150;714;25;25;15;31;1;1;2;925;77;;18-03-24 01:00;7;
